2019-01-12,2018-08-06,2018-08-07,2018-08-08,2018-08-09,2018-08-10,2018-08-12,2018-08-13,2018-08-14,2018-08-15,2018-08-16,2018-08-17,2018-08-19,2018-08-20,2018-08-21,2018-08-22,2018-08-23,2018-08-24,2018-08-26,2018-08-27,2018-08-28,2018-08-29,2018-08-30,2018-08-31,2018-09-02,2018-09-03,2018-09-04,2018-09-05,2018-09-06,2018-09-07,2018-09-09,2018-09-10,2018-09-11,2018-09-12,2018-09-13,2018-09-14,2018-09-16,2018-09-17,2018-09-18,2018-09-19,2018-09-20,2018-09-21,2018-09-23,2018-09-24,2018-09-25,2018-09-26,2018-09-27,2018-09-28,2018-09-30,2018-10-01,2018-10-02,2018-10-03,2018-10-04,2018-10-05,2018-10-07,2018-10-08,2018-10-09,2018-10-10,2018-10-11,2018-10-12,2018-10-14,2018-10-15,2018-10-16,2018-10-17,2018-10-18,2018-10-19,2018-10-21,2018-10-22,2018-10-23,2018-10-24,2018-10-25,2018-10-26,2018-10-28,2018-10-29,2018-10-30,2018-10-31,2018-11-01,2018-11-02,2018-11-04,2018-11-05,2018-11-06,2018-11-07,2018-11-08,2018-11-09,2018-11-11,2018-11-12,2018-11-13,2018-11-14,2018-11-15,2018-11-16,2018-11-18,2018-11-19,2018-11-20,2018-11-21,2018-11-22,2018-11-23,2018-11-25,2018-11-26,2018-11-27,2018-11-28,2018-11-29,2018-11-30,2018-12-02,2018-12-03,2018-12-04,2018-12-05,2018-12-06,2018-12-07
Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,,,,,
Glass noodles w beancurd stick,Fish ball tang hoon soup,Steam JPN rice,Spaghetti Neapolitan,ABC soup,Sweet radish egg soup,Fish maw soup,Seaweed taufu fish ball soup,Steam JPN rice,BBQ chicken chop,Szechuan vegetable soup,Watercress soup,Ginger egg soup,Old cucumber soup,Steam JPN rice,Mac & Cheese,Miso soup,Chinese celery soup with egg,White radish soup,Glass noodle egg soup,Mee Rebus,Spaghetti Aglio Olio,Seaweed soup,Wintermelon soup,Glass noodles w beancurd stick,Fish Ball Sawi Soup,Pandan Nasi Lemak,Roasted Baby Chicken (1/2 Portion),Sweet corn with crab stick,Long Cagbbage Soup,Glass noodles w beancurd stick,Fish ball tang hoon soup,Steam JPN rice,Spaghetti Neapolitan,ABC soup,Sweet radish egg soup,Fish maw soup,Seaweed taufu fish ball soup,Steam JPN rice,BBQ chicken chop,Szechuan vegetable soup,Watercress soup,Ginger egg soup,Old cucumber soup,Steam JPN rice,Mac & Cheese,Miso soup,Chinese celery soup with egg,White radish soup,Glass noodle egg soup,Mee Rebus,Spaghetti Aglio Olio,Seaweed soup,Wintermelon soup,Glass noodles w beancurd stick,Fish Ball Sawi Soup,Pandan Nasi Lemak,Roasted Baby Chicken (1/2 Portion),Sweet corn with crab stick,Long Cagbbage Soup,Glass noodles w beancurd stick,Fish ball tang hoon soup,Steam JPN rice,Spaghetti Neapolitan,ABC soup,Sweet radish egg soup,Fish maw soup,Seaweed taufu fish ball soup,Steam JPN rice,BBQ chicken chop,Szechuan vegetable soup,Watercress soup,Ginger egg soup,Old cucumber soup,Steam JPN rice,Mac & Cheese,Miso soup,Chinese celery soup with egg,White radish soup,Glass noodle egg soup,Mee Rebus,Spaghetti Aglio Olio,Seaweed soup,Wintermelon soup,Glass noodles w beancurd stick,Fish Ball Sawi Soup,Pandan Nasi Lemak,Roasted Baby Chicken (1/2 Portion),Sweet corn with crab stick,Long Cagbbage Soup,Glass noodles w beancurd stick,Fish ball tang hoon soup,Steam JPN rice,Spaghetti Neapolitan,ABC soup,Sweet radish egg soup,Fish maw soup,Seaweed taufu fish ball soup,Steam JPN rice,BBQ chicken chop,Szechuan vegetable soup,Watercress soup,Ginger egg soup,,,,,
Honey baked chicken wing,Deep fried chicken wings,Teppanyaki Beef,Buttered rice with raisin,Kam Hiang Chicken,Pineapple  with Hot & Spicy Chicken,Roast boneless chic w brown sauce,Black bean chicken,Chicken yakitori,Breaded fish cutlet,Mutton curry with potato,Char Siew Boneless Chciken Leg,Thai boneless Chicken leg,Black bean chicken,Teriyaki saba fish,Almond butter rice,Black pepper slice beef,Kam hiong chicken,Sweet & sour chicken,Sweet and Sour Fish,De-shell Prawn,Olive Fried Rice,Bitter gourd black bean chicken, Chicken with golden egg yolk powder,Shrimp paste chicekn wing,Taucu Fish Fillet,Sambal Shrimp Meat with Onion,Breaded fish cutlet,Fish Fillet With Spring Onion,Sambal Baked Fish Fillet,Honey baked chicken wing,Deep fried chicken wings,Teppanyaki Beef,Buttered rice with raisin,Kam Hiang Chicken,Pineapple  with Hot & Spicy Chicken,Roast boneless chic w brown sauce,Black bean chicken,Chicken yakitori,Breaded fish cutlet,Mutton curry with potato,Char Siew Boneless Chciken Leg,Thai boneless Chicken leg,Black bean chicken,Teriyaki saba fish,Almond butter rice,Black pepper slice beef,Kam hiong chicken,Sweet & sour chicken,Sweet and Sour Fish,De-shell Prawn,Olive Fried Rice,Bitter gourd black bean chicken, Chicken with golden egg yolk powder,Shrimp paste chicekn wing,Taucu Fish Fillet,Sambal Shrimp Meat with Onion,Breaded fish cutlet,Fish Fillet With Spring Onion,Sambal Baked Fish Fillet,Honey baked chicken wing,Deep fried chicken wings,Teppanyaki Beef,Buttered rice with raisin,Kam Hiang Chicken,Pineapple  with Hot & Spicy Chicken,Roast boneless chic w brown sauce,Black bean chicken,Chicken yakitori,Breaded fish cutlet,Mutton curry with potato,Char Siew Boneless Chciken Leg,Thai boneless Chicken leg,Black bean chicken,Teriyaki saba fish,Almond butter rice,Black pepper slice beef,Kam hiong chicken,Sweet & sour chicken,Sweet and Sour Fish,De-shell Prawn,Olive Fried Rice,Bitter gourd black bean chicken, Chicken with golden egg yolk powder,Shrimp paste chicekn wing,Taucu Fish Fillet,Sambal Shrimp Meat with Onion,Breaded fish cutlet,Fish Fillet With Spring Onion,Sambal Baked Fish Fillet,Honey baked chicken wing,Deep fried chicken wings,Teppanyaki Beef,Buttered rice with raisin,Kam Hiang Chicken,Pineapple  with Hot & Spicy Chicken,Roast boneless chic w brown sauce,Black bean chicken,Chicken yakitori,Breaded fish cutlet,Mutton curry with potato,Char Siew Boneless Chciken Leg,Thai boneless Chicken leg,,,,,
Lemon Butter Fish,Black bean steam chicken,Seaweed chicken,Baked fish fillet w brown tomato sauce,Deep fried pollock fish,Sambal Shrimp Meat,BBQ chicken drumlet,Portuguese baked fish fillet,Deep fried seaweed cheese roll,Mash potato,Steam fish with garlic chili flake,Kam Hiang Fish Fillet,Steam fish fillet w choy po & chili,Chicken with salted egg yolk powder,Steam egg with crabmeat,Dory fish with mushroom sauce,Mushroom brown sauce for chicken,Fish fillet honey garlic sauce,Steam fish fillet w choy po & chili,Braised chicken w abalone mushroom,"Egg, Beansprout, Beancurd",Dory fish with lemon cream sauce,Mutton Curry with potato,Sambal Shrimp Meat,Taucu fish fillet,Herbal Chicken Drumstick,Deep Fried Chicken Drumlet,Potato Wedges w Nacho Cheese,Braised Chicken with Sesame,Teriyaki Chicken,Lemon Butter Fish,Black bean steam chicken,Seaweed chicken,Baked fish fillet w brown tomato sauce,Deep fried pollock fish,Sambal Shrimp Meat,BBQ chicken drumlet,Portuguese baked fish fillet,Deep fried seaweed cheese roll,Mash potato,Steam fish with garlic chili flake,Kam Hiang Fish Fillet,Steam fish fillet w choy po & chili,Chicken with salted egg yolk powder,Steam egg with crabmeat,Dory fish with mushroom sauce,Mushroom brown sauce for chicken,Fish fillet honey garlic sauce,Steam fish fillet w choy po & chili,Braised chicken w abalone mushroom,"Egg, Beansprout, Beancurd",Dory fish with lemon cream sauce,Mutton Curry with potato,Sambal Shrimp Meat,Taucu fish fillet,Herbal Chicken Drumstick,Deep Fried Chicken Drumlet,Potato Wedges w Nacho Cheese,Braised Chicken with Sesame,Teriyaki Chicken,Lemon Butter Fish,Black bean steam chicken,Seaweed chicken,Baked fish fillet w brown tomato sauce,Deep fried pollock fish,Sambal Shrimp Meat,BBQ chicken drumlet,Portuguese baked fish fillet,Deep fried seaweed cheese roll,Mash potato,Steam fish with garlic chili flake,Kam Hiang Fish Fillet,Steam fish fillet w choy po & chili,Chicken with salted egg yolk powder,Steam egg with crabmeat,Dory fish with mushroom sauce,Mushroom brown sauce for chicken,Fish fillet honey garlic sauce,Steam fish fillet w choy po & chili,Braised chicken w abalone mushroom,"Egg, Beansprout, Beancurd",Dory fish with lemon cream sauce,Mutton Curry with potato,Sambal Shrimp Meat,Taucu fish fillet,Herbal Chicken Drumstick,Deep Fried Chicken Drumlet,Potato Wedges w Nacho Cheese,Braised Chicken with Sesame,Teriyaki Chicken,Lemon Butter Fish,Black bean steam chicken,Seaweed chicken,Baked fish fillet w brown tomato sauce,Deep fried pollock fish,Sambal Shrimp Meat,BBQ chicken drumlet,Portuguese baked fish fillet,Deep fried seaweed cheese roll,Mash potato,Steam fish with garlic chili flake,Kam Hiang Fish Fillet,Steam fish fillet w choy po & chili,,,,,
Braised Chicken w Sze Chuan Vege,Fish Fillet with oyster sauce,Mix vege JPN style,"Baked b,less chicken leg w cajun sauce",Steam chicken mince with pumpkin,Cajun baked fish with BBQ sauce,Taucu fish fillet,Hot & spicy beef fillet,Hibachi vegetable,Breaded spinach ball with cheese,Chicken with oyster sauce,Crispy squid w golden egg yolk powder,Chik kut Teh drumstick,Fish Fillet with garlic soya sauce,Salted beansprout with spring onion,Chicken cutlet,Sambal baked fish with lime leaf,Steam fish chinese style,Black pepper chicken,Chicken rendang with potato,Green cut chili,Fried Chicken Thigh,Steam fish with garlic chili flake,Char Siew fish,Chicken stew with potato,Black Bean Steam Chicken,Hard Boil Egg & Alchar,Broccoli with Lemon Butter Cream,Black Pepper Beef,Ginger Chicken,Braised Chicken w Sze Chuan Vege,Fish Fillet with oyster sauce,Mix vege JPN style,"Baked b,less chicken leg w cajun sauce",Steam chicken mince with pumpkin,Cajun baked fish with BBQ sauce,Taucu fish fillet,Hot & spicy beef fillet,Hibachi vegetable,Breaded spinach ball with cheese,Chicken with oyster sauce,Crispy squid w golden egg yolk powder,Chik kut Teh drumstick,Fish Fillet with garlic soya sauce,Salted beansprout with spring onion,Chicken cutlet,Sambal baked fish with lime leaf,Steam fish chinese style,Black pepper chicken,Chicken rendang with potato,Green cut chili,Fried Chicken Thigh,Steam fish with garlic chili flake,Char Siew fish,Chicken stew with potato,Black Bean Steam Chicken,Hard Boil Egg & Alchar,Broccoli with Lemon Butter Cream,Black Pepper Beef,Ginger Chicken,Braised Chicken w Sze Chuan Vege,Fish Fillet with oyster sauce,Mix vege JPN style,"Baked b,less chicken leg w cajun sauce",Steam chicken mince with pumpkin,Cajun baked fish with BBQ sauce,Taucu fish fillet,Hot & spicy beef fillet,Hibachi vegetable,Breaded spinach ball with cheese,Chicken with oyster sauce,Crispy squid w golden egg yolk powder,Chik kut Teh drumstick,Fish Fillet with garlic soya sauce,Salted beansprout with spring onion,Chicken cutlet,Sambal baked fish with lime leaf,Steam fish chinese style,Black pepper chicken,Chicken rendang with potato,Green cut chili,Fried Chicken Thigh,Steam fish with garlic chili flake,Char Siew Fish fish,Chicken stew with potato,Black Bean Steam Chicken,Hard Boil Egg & Alchar,Broccoli with Lemon Butter Cream,Black Pepper Beef,Ginger Chicken,Braised Chicken w Sze Chuan Vege,Fish Fillet with oyster sauce,Mix vege JPN style,"Baked b,less chicken leg w cajun sauce",Steam chicken mince with pumpkin,Cajun baked fish with BBQ sauce,Taucu fish fillet,Hot & spicy beef fillet,Hibachi vegetable,Breaded spinach ball with cheese,Chicken with oyster sauce,Crispy squid w golden egg yolk powder,Chik kut Teh drumstick,,,,,
Cheese taufu,Teriyaki sotong ball,"Mee siam wTaupok, & Gravy",Sauteed potato,Honey fishball,Ma po beancurd,Black pepper taupok,Deep Fried Wantan,"Laksa noodle wTaupok, & Gravy",BBQ baked beans,Braised egg,Stir fried potato with thai chili sauce,Onion fried egg,Tomato fried egg,Cantonese Kway Teow,Potato wedges,Potato stew,JPN beancurd with pumpkin sauce,Ma po beancurd,Fish Ball with chili crab sauce,Indonesian nasi goreng,Potato wedges,Onion fried egg,Egg Sambal with Onion & Tomato,Honey fish ball,Steam Egg with Crab Meat Stick,Penang Prawn Mee Soup,Breaded Onion Ring,Deep Fried Prawn Ball,Black Pepper Sausage,Cheese taufu,Teriyaki sotong ball,"Mee siam wTaupok, & Gravy",Sauteed potato,Honey fishball,Ma po beancurd,Black pepper taupok,Deep Fried Wantan,"Laksa noodle wTaupok, & Gravy",BBQ baked beans,Braised egg,Stir fried potato with thai chili sauce,Onion fried egg,Tomato fried egg,Cantonese Kway Teow,Potato wedges,Potato stew,JPN beancurd with pumpkin sauce,Ma po beancurd,Fish Ball with chili crab sauce,Indonesian nasi goreng,Potato wedges,Onion fried egg,Egg Sambal with Onion & Tomato,Honey fish ball,Steam Egg with Crab Meat Stick,Penang Prawn Mee Soup,Breaded Onion Ring,Deep Fried Prawn Ball,Black Pepper Sausage,Cheese taufu,Teriyaki sotong ball,"Mee siam wTaupok, & Gravy",Sauteed potato,Honey fishball,Ma po beancurd,Black pepper taupok,Deep Fried Wantan,"Laksa noodle wTaupok, & Gravy",BBQ baked beans,Braised egg,Stir fried potato with thai chili sauce,Onion fried egg,Tomato fried egg,Cantonese Kway Teow,Potato wedges,Potato stew,JPN beancurd with pumpkin sauce,Ma po beancurd,Fish Ball with chili crab sauce,Indonesian nasi goreng,Potato wedges,Onion fried egg,Egg Sambal with Onion & Tomato,Honey fish ball,Steam Egg with Crab Meat Stick,Penang Prawn Mee Soup,Breaded Onion Ring,Deep Fried Prawn Ball,Black Pepper Sausage,Cheese taufu,Teriyaki sotong ball,"Mee siam wTaupok, & Gravy",Sauteed potato,Honey fishball,Ma po beancurd,Black pepper taupok,Deep Fried Wantan,"Laksa noodle wTaupok, & Gravy",BBQ baked beans,Braised egg,Stir fried potato with thai chili sauce,Onion fried egg,,,,,
Fish nuggets,Deep fried wantan,De-shell prawn ,Baked cauliflower with cheese,Steam egg,Stir fried potato,Sweet and sour potato,Stir fried potato with green peas,De-shell prawn ,Onion rings,Steam beancurd w salted egg yolk,Sweet & sour chicken sausage,Braised beancurd,Fish ball BBQ sauce,De-shell prawn ,Baked cauliflower with cheese,Steam egg,Braised egg,Durama spring roll,Sauteed potato,Baked chicken thigh,Baked cauliflower with cheese,Baked bean with potato,Hon siew beancurd,Salt & pepper beancurd,Beancurd with Thai Sauce,De-shell prawn & Fish cake,Corn on Cob,Sweet & Sour Potato,Deep Fried Spring Roll,Fish nuggets,Deep fried wantan,De-shell prawn ,Baked cauliflower with cheese,Steam egg,Stir fried potato,Sweet and sour potato,Stir fried potato with green peas,De-shell prawn ,Onion rings,Steam beancurd w salted egg yolk,Sweet & sour chicken sausage,Braised beancurd,Fish ball BBQ sauce,De-shell prawn ,Baked cauliflower with cheese,Steam egg,Braised egg,Durama spring roll,Sauteed potato,Baked chicken thigh,Baked cauliflower with cheese,Baked bean with potato,Hon siew beancurd,Salt & pepper beancurd,Beancurd with Thai Sauce,De-shell prawn & Fish cake,Corn on Cob,Sweet & Sour Potato,Deep Fried Spring Roll,Fish nuggets,Deep fried wantan,De-shell prawn ,Baked cauliflower with cheese,Steam egg,Stir fried potato,Sweet and sour potato,Stir fried potato with green peas,De-shell prawn ,Onion rings,Steam beancurd w salted egg yolk,Sweet & sour chicken sausage,Braised beancurd,Fish ball BBQ sauce,De-shell prawn ,Baked cauliflower with cheese,Steam egg,Braised egg,Durama spring roll,Sauteed potato,Baked chicken thigh,Baked cauliflower with cheese,Baked bean with potato,Hon siew beancurd,Salt & pepper beancurd,Beancurd with Thai Sauce,De-shell prawn & Fish cake,Corn on Cob,Sweet & Sour Potato,Deep Fried Spring Roll,Fish nuggets,Deep fried wantan,De-shell prawn ,Baked cauliflower with cheese,Steam egg,Stir fried potato,Sweet and sour potato,Stir fried potato with green peas,De-shell prawn ,Onion rings,Steam beancurd w salted egg yolk,Sweet & sour chicken sausage,Braised beancurd,,,,,
Stir fried potato with spring onion,Black pepper chicken sausage,Fish cake,Salted mix mushroom with onion,Breaded spinach ball,BBQ cocktail sausage,Fish nuggets,Breaded fish finger,Fish ball,Coleslaw,Black pepper fish ball,Chicken nuggets,Thai fish cake,Baked beans with cocktail sausage,Chicken meat sliced,Salted mix mushroom with onion,Fish nuggets,Sweet N sour chicken sausage,Salmon fish cake,BBQ cocktail sausage,Thai fish cake,Salted mix mushroom with onion,Fish ngoh hiang,Breaded scallop cake,Seaweed chicken,Durama Spring Roll,Hard Boil Egg & Beansprout,Green Apple,Ku Chai Fried Egg,Steam Beancurd with Salted Egg,Stir fried potato with spring onion,Black pepper chicken sausage,Fish cake,Salted mix mushroom with onion,Breaded spinach ball,BBQ cocktail sausage,Fish nuggets,Breaded fish finger,Fish ball,Coleslaw,Black pepper fish ball,Chicken nuggets,Thai fish cake,Baked beans with cocktail sausage,Chicken meat sliced,Salted mix mushroom with onion,Fish nuggets,Sweet N sour chicken sausage,Salmon fish cake,BBQ cocktail sausage,Thai fish cake,Salted mix mushroom with onion,Fish ngoh hiang,Breaded scallop cake,Seaweed chicken,Durama Spring Roll,Hard Boil Egg & Beansprout,Green Apple,Ku Chai Fried Egg,Steam Beancurd with Salted Egg,Stir fried potato with spring onion,Black pepper chicken sausage,Fish cake,Salted mix mushroom with onion,Breaded spinach ball,BBQ cocktail sausage,Fish nuggets,Breaded fish finger,Fish ball,Coleslaw,Black pepper fish ball,Chicken nuggets,Thai fish cake,Baked beans with cocktail sausage,Chicken meat sliced,Salted mix mushroom with onion,Fish nuggets,Sweet N sour chicken sausage,Salmon fish cake,BBQ cocktail sausage,Thai fish cake,Salted mix mushroom with onion,Fish ngoh hiang,Breaded scallop cake,Seaweed chicken,Durama Spring Roll,Hard Boil Egg & Beansprout,Green Apple,Ku Chai Fried Egg,Steam Beancurd with Salted Egg,Stir fried potato with spring onion,Black pepper chicken sausage,Fish cake,Salted mix mushroom with onion,Breaded spinach ball,BBQ cocktail sausage,Fish nuggets,Breaded fish finger,Fish ball,Coleslaw,Black pepper fish ball,Chicken nuggets,Thai fish cake,,,,,
Broccoli with mushroom,Nyonya chap chai,Hard boil egg,Chicken nuggets,Twin fungus with vegetable,Stir fried cabbage,Siew pack choy w oyster sauce,Spinach chef stock,Hard boil egg,Red apple,Twin fungus with vegetable,Siew pack choy with oyster sauce,Sze chuan brinjal,Spinach with chef stock,Chye sim,Chicken nuggets,Stir fried ladies finger,Sawi Oyater Sauce,Baked cauliflower with cheese,Ladies finger dry shrimp,Curry mix vegetable,BBQ cocktail sausage,Spinach chef stock,Stir fried teow chow pek,Broccoli with mushroom,Lo Han Vegetable,Kangkong,,French Bean with Dry Shrimp,Stir Fried Beansprout,Broccoli with mushroom,Nyonya chap chai,Hard boil egg,Chicken nuggets,Twin fungus with vegetable,Stir fried cabbage,Siew pack choy w oyster sauce,Spinach chef stock,Hard boil egg,Red apple,Twin fungus with vegetable,Siew pack choy with oyster sauce,Sze chuan brinjal,Spinach with chef stock,Chye sim,Chicken nuggets,Stir fried ladies finger,Sawi Oyater Sauce,Baked cauliflower with cheese,Ladies finger dry shrimp,Curry mix vegetable,BBQ cocktail sausage,Spinach chef stock,Stir fried teow chow pek,Broccoli with mushroom,Lo Han Vegetable,Kangkong,,French Bean with Dry Shrimp,Stir Fried Beansprout,Broccoli with mushroom,Nyonya chap chai,Hard boil egg,Chicken nuggets,Twin fungus with vegetable,Stir fried cabbage,Siew pack choy w oyster sauce,Spinach chef stock,Hard boil egg,Red apple,Twin fungus with vegetable,Siew pack choy with oyster sauce,Sze chuan brinjal,Spinach with chef stock,Chye sim,Chicken nuggets,Stir fried ladies finger,Sawi Oyater Sauce,Baked cauliflower with cheese,Ladies finger dry shrimp,Curry mix vegetable,BBQ cocktail sausage,Spinach chef stock,Stir fried teow chow pek,Broccoli with mushroom,Lo Han Vegetable,Kangkong,,French Bean with Dry Shrimp,Stir Fried Beansprout,Broccoli with mushroom,Nyonya chap chai,Hard boil egg,Chicken nuggets,Twin fungus with vegetable,Stir fried cabbage,Siew pack choy w oyster sauce,Spinach chef stock,Hard boil egg,Red apple,Twin fungus with vegetable,Siew pack choy with oyster sauce,Sze chuan brinjal,,,,,
Teow chow pek with oyster sauce,Cauliflower w crab stick sauce,Nasi Briyani,Watermelon,Vegetable curry,Teow choe pak oyster sauce,French bean dry shrimp,French bean garlic,Briyani rice,,Stir fried cabbage,Stir fried ladies finger,Lo han Vegatable,Curry Vegetable,Chicken rice,Orange,Spinach with century,Stir fried long bean,Stir fried french bean,Sawi with oyster sauce,Mee Goreng,Beancurd Skin with Barley,Roasted mix vegetable,Kai lan oyster sauce,Brinjal with dried shrimp,Teow Chow Pek with Oyster,,,Sawi with Oyster Sauce,Broccoli with Mix Mushroom,Teow chow pek with oyster sauce,Cauliflower w crab stick sauce,Nasi Briyani,Watermelon,Vegetable curry,Teow choe pak oyster sauce,French bean dry shrimp,French bean garlic,Briyani rice,,Stir fried cabbage,Stir fried ladies finger,Lo han Vegatable,Curry Vegetable,Chicken rice,Orange,Spinach with century,Stir fried long bean,Stir fried french bean,Sawi with oyster sauce,Mee Goreng,Beancurd Skin with Barley,Roasted mix vegetable,Kai lan oyster sauce,Brinjal with dried shrimp,Teow Chow Pek with Oyster,,,Sawi with Oyster Sauce,Broccoli with Mix Mushroom,Teow chow pek with oyster sauce,Cauliflower w crab stick sauce,Nasi Briyani,Watermelon,Vegetable curry,Teow choe pak oyster sauce,French bean dry shrimp,French bean garlic,Briyani rice,,Stir fried cabbage,Stir fried ladies finger,Lo han Vegatable,Curry Vegetable,Chicken rice,Orange,Spinach with century,Stir fried long bean,Stir fried french bean,Sawi with oyster sauce,Mee Goreng,Beancurd Skin with Barley,Roasted mix vegetable,Kai lan oyster sauce,Brinjal with dried shrimp,Teow Chow Pek with Oyster,,,Sawi with Oyster Sauce,Broccoli with Mix Mushroom,Teow chow pek with oyster sauce,Cauliflower w crab stick sauce,Nasi Briyani,Watermelon,Vegetable curry,Teow choe pak oyster sauce,French bean dry shrimp,French bean garlic,Briyani rice,,Stir fried cabbage,Stir fried ladies finger,Lo han Vegatable,,,,,
